crater_id,crater_latitude,crater_longitude,crater_diameter_km,ohrc_product,tmc2_product
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054186,-14.9714,69.1779,2.41359,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054190,-14.6867,69.2339,1.64613,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054191,-14.7724,69.2178,1.20706,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054193,-14.8825,69.2126,4.32774,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054194,-14.8231,69.281,1.08643,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200104T0343214194_g_grd_gds
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20200131T1010006367_g_grd_d18
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20201126T1808573675_g_grd_d32
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T0803114100_g_grd_d18
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20210514T1200279624_g_grd_d18
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20211113T1650236492_g_grd_d18
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220518T1459006639_g_grd_d18
07-1-054196,-14.8074,69.4205,1.76681,ch2_ohr_ncp_20190906T1246532096_d_img_d18,ch2_tmc_ncn_20220609T1621036061_g_grd_d32
